Transferable Skill,Skill Area,Subskill,Strength,Growth
Ownership of Learning,Motivation,Curiosity-fueled motivation,"You're motivated by curiosity, asking ""why?"" and digging for understanding, rather than just checking steps off for completion.","Tap into your curiosity to ask ""why"" as well as completing assigned tasks. Push yourself to dig into the reasoning behind what you're learning, not just the steps."
Ownership of Learning,Motivation,Awareness of personal motivations,You demonstrate intrinsic motivation while leveraging extrinsic motivators when useful.,"Consider what actually drives you to engage with schoolwork. Notice when you're acting from external pressure versus genuine interest, and try to cultivate more of the latter."
Ownership of Learning,Motivation,"Bringing passions, interests, and voice to the classroom","You bring your passions, interests, and voice into the classroom.","Find opportunities to connect your outside interests to what's happening in class. When an assignment gives you latitude, bring in your own perspective rather than defaulting to what seems to be expected."
Ownership of Learning,Motivation,Learning for learning's sake,"You prioritize the process of exploring ideas, rather than focusing on outcomes and grades.","Resist the urge to focus solely on the grade. When you notice yourself thinking about outcomes, redirect toward what you find genuinely interesting about the work itself."
Ownership of Learning,Social Engagement,Engagement during class,"You are an engaged learner in the classroom, paying close attention, asking questions, and interacting with the ideas of your peers and teacher.",Work on sustaining focus during class—especially when the pace slows or the topic feels less relevant. Practice asking at least one genuine question per class.
Ownership of Learning,Social Engagement,Consideration of how social interactions affect academic pursuits,You make good decisions based on how social interactions help and hinder your academic pursuits.,Reflect on whether your friendships and social dynamics are helping or distracting from your academic engagement. Make deliberate choices about how you use social time.
Ownership of Learning,Social Engagement,Respect for and learning from mentors,You model your learning habits and skill development on successful role models.,Identify role models whose habits or approach you want to learn from. Pay attention to how they think and work.
Ownership of Learning,Personal Reflection,Noticing feelings and how they impact participation in class,You notice how you're feeling in and about a class and use those observations to improve your engagement and participation.,Check in with yourself at the start of class: notice how you're feeling and how that might affect your participation. Build this into a regular habit.
Ownership of Learning,Personal Reflection,Taking advantage of retake and review opportunities,You take note of and reflect on your areas for growth and the areas you've strengthened.,Be intentional about identifying what you've done well and what you should approach differently.
Ownership of Learning,Personal Reflection,Incorporation of feedback,You reflect on your work and incorporate the feedback you receive from your peers and teachers.,"When you receive feedback, review it carefully and try to act on it before the next assignment."
Academic Skills and Responsibility,Documentation and Organization of Materials,Organization of materials,"You have organizational strategies that allow you to access your materials, assignments, and work efficiently.",Develop a consistent system for organizing your materials—physical and digital—so you can find what you need without stress or wasted time.
Academic Skills and Responsibility,Documentation and Organization of Materials,Proper citation and formatting of work,You follow the formatting guidelines for assignments. You include acknowledgements of help received on your work and cite sources properly.,"Before submitting work, check it against the formatting guidelines. Make citing sources a default step, not an afterthought."
Academic Skills and Responsibility,Documentation and Organization of Materials,Careful and thorough note-taking,"You carefully consider how you best take notes, and consistently take notes that are useful to you.",Experiment with different note-taking methods to find what actually helps you retain and access information.
Academic Skills and Responsibility,Time Management,Effective time management and self-care,"You've developed time management skills which you use to allow appropriate time for your school work. As a result, you don't leave work until the last minute. You use Flex effectively, and are able to get a reasonable amount of sleep.","Work on estimating how long your assignments actually take, and schedule your work accordingly so you're not starting things the night before they're due. Use your Flex time intentionally—plan what you'll work on before you sit down. Prioritize sleep as part of your academic routine."
Academic Skills and Responsibility,Time Management,Meeting assignment deadlines,You consistently turn assignments in on time.,"Develop a habit of tracking assignment deadlines, so turning things in on time becomes automatic rather than something you have to remember under pressure."
Academic Skills and Responsibility,Time Management,Preparation for class,You come to class prepared to engage with the material.,"Create a habit of planning both academic responsibilities and personal needs, so you can consistently show up on time and prepared."
Academic Skills and Responsibility,Seeking and Asking for Help,Proactive use of tutorial and support resources,You come to tutorial and utilize it effectively.,Sign up for tutorial proactively—before you're behind—and come with specific questions rather than waiting to see if you need it.
Academic Skills and Responsibility,Seeking and Asking for Help,Proactive communication with teachers,"You promptly respond to your teacher when they contact you, and you proactively contact your teacher when you have missed class or need to arrange for accommodations or extensions.","If you miss class or need an extension, reach out to your teacher before they have to follow up with you. Practice sending that email promptly."
Academic Skills and Responsibility,Seeking and Asking for Help,Knowing when and how to seek help,You connect with your teacher when you need to. You know when to ask questions and to whom you should ask them.,"When you're confused, identify the right person to ask and reach out. Practice framing your question clearly, so you're ready to talk to your teacher."
Academic Skills and Responsibility,Tech and Tool Use,Skillful use of technology,"You know how and where to submit assignments. You upload clear pictures for assignments, when necessary.","Familiarize yourself with submission procedures for each class, so you never lose points due to technical issues or submission errors."
Academic Skills and Responsibility,Tech and Tool Use,Skillful use of school-related computer programs,"You navigate Canvas fluidly to submit assignments, read teacher feedback, check deadlines, and utilize resources (e.g. teacher agendas, PDF resources, rubrics).","Spend time exploring Canvas features you haven't used—teacher agendas, rubrics, embedded resources. Make sure you're not missing information that's already there."
Academic Skills and Responsibility,Tech and Tool Use,Appropriate use of technology,You know when and how to use tools such as calculators.,Reflect on when tech use actually helps versus when it bypasses the reasoning skills you need to develop. Use digital tools strategically.
Academic Skills and Responsibility,Tech and Tool Use,Organization of digital materials,You have an organization strategy for your Google Drive and properly share your work.,"Organize your Google Drive with a folder structure that makes sense to you and keep it current, so you can locate any file quickly."
Academic Skills and Responsibility,Agency and Resourcefulness,Deep & careful reading and active listening,You read directions and carefully listen to both your teachers' explanations and your peers' questions about assignments.,"Before starting an assignment, read the directions twice. During class, listen to your peers' questions—they often surface things you missed."
Academic Skills and Responsibility,Agency and Resourcefulness,Active engagement during class,"You fully participate during class by actively listening, staying on task, and contributing to class discussions.","When you notice yourself drifting during class, use a quick refocus strategy: restate in your head what was just said, or jot a brief note."
Academic Skills and Responsibility,Agency and Resourcefulness,Deep & careful reading,"You recognize that you're responsible for your understanding of written materials. You read for understanding, not completion, and use necessary reading supports to understand the materials.","When you don't understand something you've read, pause and identify what specifically is unclear rather than reading through your confusion and moving on."
Academic Skills and Responsibility,Agency and Resourcefulness,"Skillful use of resources, tools, and technology",You know when to use your digital and physical materials as resources.,Build the habit of checking what resources are available before asking for help or getting stuck. Know where your materials live.
Collaboration,Value,Seeking out collaborative experiences,"You understand the value of collaboration and seek both small group (e.g. study buddy) and large group (e.g. group project) collaborative experiences. You seek out collaboration beyond your peers, including Bay adults and outside community resources.",Actively seek out collaborative work rather than waiting for it to be assigned. Look for study partners and group opportunities. Reach out for collaboration beyond your immediate peer group.
Collaboration,Community Building and Collaborative Discussion,Thoughtful critique of ideas & solutions,"In discussions, you listen for understanding rather than for opportunities to speak. You respond to what your peers have said, in addition to contributing your personal thoughts. When you don't understand an idea, you ask for clarification.","In discussions, challenge yourself to understand what peers have said, and respond to their ideas directly before introducing your own new point."
Collaboration,Community Building and Collaborative Discussion,Respect for others,You don't mock your peers or their ideas. You appreciate diversity of thought. You respectfully push back when you disagree. You are willing to change your mind.,"When you disagree with someone, practice stating your disagreement respectfully and with a reason, rather than dismissing the idea or going silent."
Collaboration,Community Building and Collaborative Discussion,Supporting peers' understanding,"You help your partners understand ideas when they are confused, rather than merely ""saying the answer"" so you can be done working.","When working with a partner who's confused, slow down and ask questions to help them build understanding rather than just moving through the problem."
Collaboration,Community Building and Collaborative Discussion,Self-awareness in collaborative settings,"In building a new collaborative group, you identify and share your strengths and challenges with your team so they know how you can contribute and where you will need support in your work.","Before group work begins, be explicit with your team about where you're confident and where you'll need support."
Collaboration,Community Building and Collaborative Discussion,Expressing appreciation for peers,You express gratitude for your peers and their ideas and work.,Make a habit of acknowledging specific contributions from your peers during and after collaborative work.
Collaboration,Community Building and Collaborative Discussion,Asking effective and insightful questions,You have experimented with asking questions and learned to create effective and insightful questions.,Practice asking follow-up and probing questions during class discussions—not just surface clarifications but questions that push ideas further.
Collaboration,Collaborative Labor,Sharing group work responsibilities,"In collaborative work, you share responsibility with your partners and contribute to all parts of the work. You ensure the group sticks together by inviting members into the conversation when needed.","In group work, track whether you're taking on your share of each part of the task, not just the parts that feel comfortable."
Collaboration,Collaborative Labor,Facilitation and contribution during group work,"You offer possible solution strategies, share partially complete ideas, facilitate conversation, and help others stay on task.",Contribute your partial ideas even when they're not fully formed—practice offering a direction and letting the group develop it.
Collaboration,Collaborative Labor,Staying present and engaged during group work,You don't do independent work while your group is working collaboratively.,"When your group is working together, put away independent work entirely. Full presence helps the group and builds trust."
Collaboration,Collaborative Labor,Offering and seeking peer feedback,You offer useful feedback and seek the same from your peers.,Build the habit of both asking for and giving feedback throughout collaborative work.
Collaboration,Collaborative Labor,Flexibility in taking on different team roles,You volunteer and explore different roles within your team.,Volunteer for a role in group work that's outside your comfort zone. Notice what you learn from the discomfort.
Collaboration,Collaborative Labor,Establishing clear group norms,You work to set clear expectations about group norms and agreements.,"At the start of collaborative work, take a few minutes to name expectations and norms with your group rather than assuming everyone's on the same page."
Communication of Ideas,Rhetorical Situation,Flexibility and clarity in explaining ideas,You can explain ideas in different ways (including using different representations). You check with others to confirm your communication is clear.,"When explaining something, check for understanding by asking your listener a question rather than asking if they understand."
Communication of Ideas,Rhetorical Situation,Audience awareness,"You consider your audience, both what they might know and what they might not, before articulating an idea.","Before communicating an idea, ask yourself: who is my audience and what do they already know? What do they not know that you take for granted? Adjust your explanation accordingly."
Communication of Ideas,Rhetorical Situation,Use of new vocabulary & academic language,You use appropriate vocabulary to support the learning in the course.,Make a deliberate effort to use the vocabulary introduced in class in both speaking and writing. Notice when you revert to vague language instead.
Communication of Ideas,Written Communication,Clarity & thoroughness in written work,"Your writing is specific, makes sense, reflects careful argumentation or explanation, fully addresses assignment prompts, and follows style guidelines.","Before submitting written work, reread it and ask: does every sentence serve the prompt or your intended purpose? Is the argument clear to someone who doesn't already know what you mean?"
Communication of Ideas,Written Communication,Documentation of problem-solving process,You record your steps as you work through a problem to document your process and increase clarity in your (or your group's) thinking.,"Get in the habit of writing out your steps as you work through a problem, even when you think you can do it in your head."
Communication of Ideas,Written Communication,Strategic use of discussion before writing,You understand when it is helpful for you to talk through an idea before writing.,"When starting a writing assignment, try talking through your main idea with a peer or aloud to yourself before you begin drafting."
Communication of Ideas,Written Communication,Logical sequencing in writing,You can clearly articulate a story or argument in a logical sequence.,"Outline or plan your argument, explanation, or narrative before writing. Check that each section follows logically from the one before."
Communication of Ideas,Visual Communication,Relevant and accurate visual communication,"You can identify an appropriate visual to help you articulate an idea (e.g. images, graphs). Your visual communications are relevant and accurate.","When selecting a visual to support an idea, ask: does this actually show what I'm trying to say, or is it just decoration? Before including it, verify it's accurate and directly relevant."
Communication of Ideas,Verbal Communication,Clear & accurate verbal communication,"You use tools to help you more clearly articulate your ideas verbally (such as notes, outlines, speaker notes).","For any verbal presentation, prepare notes or an outline in advance so your ideas stay organized under pressure."
Communication of Ideas,Verbal Communication,Preparation and practice of verbal communication,"When appropriate, you practice your verbal presentation of an idea.",Practice your verbal explanations before sharing them—say them aloud at least once so you know where the gaps are.
Communication of Ideas,Verbal Communication,Supplementing verbal communication with other modalities,You consider what information is missing when you're sharing verbally so that you can supplement your explanation with other forms of communication (e.g. visuals).,"After explaining something verbally, check whether your listener has questions—what you said might have left out information that seemed obvious to you."
Communication of Ideas,Non-verbal Communication,Awareness of non-verbal communication,"You pay attention to how you, and those around you, express ideas and opinions non-verbally.",Start noticing your own non-verbal signals during class. Pay attention to whether your body language communicates engagement or disengagement.
Communication of Ideas,Non-verbal Communication,Intentional use of body language while listening,You are aware of your body language while listening and use it to communicate with others that you're following along.,"When someone is speaking, use your body language deliberately—orient toward them, nod when you follow, and notice when you're signaling distraction."
Communication of Ideas,Non-verbal Communication,Alignment of body language with communication intent,"When sharing, you align your body language (e.g. stance, facial expression) with the message you hope to convey to the audience. ","When presenting, be aware of your physical presence: make eye contact, keep a steady stance, and let your expression match your message."
Creative Thinking and Risk Taking,Experimentation,Openness to brainstorming and iteration,"You use brainstorming, both individually and collaboratively. You don't overvalue your first idea. You understand the value of brainstorming being messy and multidirectional.","When brainstorming, push past your first idea. Give yourself a quantity goal—five or ten (or 50!) options—before evaluating any of them."
Creative Thinking and Risk Taking,Experimentation,Innovation in ideas & approaches,"You play with ideas and test strategies. You strive to think ""outside the box"" to see known information in new ways.","Try approaches that aren't the obvious or expected ones. When you notice yourself defaulting to a familiar strategy, ask what else might work."
Creative Thinking and Risk Taking,Experimentation,Willingness to take risks,"You offer or implement unfinished ideas and possible solution strategies, including ones not suggested by your teacher. You elaborate about ideas to explain their potential to meet a given purpose.",Share your incomplete or tentative ideas rather than waiting until they're fully formed. Practice offering a direction and see where others take it.
Creative Thinking and Risk Taking,Complex Problem Solving,Generation and exploration of multiple approaches,You generate new ideas and build on existing ones to consider a range of ways to address a problem. You understand the value of considering and trying multiple approaches when trying to solve a problem.,"When you get stuck on a problem, list two or three completely different approaches before committing to one. Explore before you solve."
Creative Thinking and Risk Taking,Complex Problem Solving,"Proofreading, checking, and revision of work",You reflect on and refine your process of reasoning through the information you gather.,"After completing work, go back and check your reasoning: does each step follow? Is there a gap you glossed over?"
